category,reportNumber,displayOrder,reportDesc
Nectarine/Peach,EM119E,1,A crop guide for tree fruit commonly grown in Central Washington orchards.
Pasture,PNW 614,1,"A comprehensive PNW-guide for pasture management in the region. This 214 page guide covers a wide range of topics relevant to regional pasture management, including nutrient management."
Pasture,PNW708,2,A comprehensive guide for pasture management in the Inland Pacific Northwest. This 141 page guide provides tailored management advice specific to the growing characteristics of your Major Land Resource Area (MLRA).
Pear,EM119E,1,A crop guide for tree fruit commonly grown in Central Washington orchards.
Peppers,7217,1,A crop guide for bell peppers from the University of California's Vegetable Production Series.
Peppers,EM 9165,1,A guide from Oregon State University focused broadly on organic vegetable production in Western Oregon.
Peppers,7244,2,A crop guide for chile peppers from the University of California's Vegetable Production Series.
Potato,EB1882,1,A guide from Washington State University focused on nutrient management for irrigated potatoes grown in major production areas in Central Washington.
Potato,BUL 840,2,A nutrient management guide for Russet Burbank potatoes from the University of Idaho.
Potato,BUL 885,3,An extension publication from the University of Idaho focusing on variety selection and nutrient management considerations for organically-grown potatoes.
Potato,CIS 919,4,A nutrient management guide for Ranger Russet potatoes from the University of Idaho.
Potato,CIS 863,5,A nutrient management guide for Russet Norkotah potatoes from the University of Idaho.
Potato,CIS 1149,6,A nutrient management guide for Blazer Russet potatoes from the University of Idaho.
Potato,CIS 1181,7,A nutrient management guide for Classic Russet potatoes from the University of Idaho.
Sudangrass,EB1507,1,"A crop guide for growing sudangrass and sorghum-sudangrass for forage production. Includes a range of agronomic considerations, including nutrient management."
"Triticale, Winter (forage)",BUL 869,1,An extension publication which explores the productivity and nutrient uptake of double-cropping systems.
Wheat,EB1987E,1,This nutrient management guide provides a budgeting approach to determine the nitrogen requirement of dryland wheat crops grown in eastern Washington.
